eval_loss,eval_accuracy,eval_RMSE,eval_QWK,eval_HDIV,eval_runtime,eval_samples_per_second,eval_steps_per_second,timestamp,id
4.640072345733643,0.38461538461538464,50.27106013582255,0.0,0.07692307692307687,84.7131,2.302,0.578,2024-05-20 10:16:18,llama3-tom-cat
1.2696533203125,0.5230769230769231,42.67948525390696,0.4019396551724138,0.06153846153846154,85.5894,2.278,0.573,11.87,2024-05-20 10:16:18,llama3-tom-cat
1.347489833831787,0.4444444444444444,51.42416206847171,0.30477117818889976,0.09259259259259256,94.7206,2.28,0.57,11.87,2024-05-20 10:16:18,llama3-tom-cat
4.470247268676758,0.4,48.611489620015995,-0.02564102564102555,0.07179487179487176,56.6315,3.443,0.865,2024-05-21 12:17:09,llama3-base
1.270973563194275,0.48717948717948717,42.67948525390696,0.27260812581913496,0.04102564102564099,57.8358,3.372,0.847,11.87,2024-05-21 12:17:09,llama3-base
1.370703935623169,0.4166666666666667,51.27991448539701,0.3166506256015399,0.10185185185185186,54.5398,3.96,0.99,11.87,2024-05-21 12:17:09,llama3-base
4.640217304229736,0.38461538461538464,50.27106013582255,0.0,0.07692307692307687,57.2556,3.406,0.856,2024-05-21 16:24:46,llama3-tom-cat
1.2725504636764526,0.5384615384615384,42.58325179379016,0.26578073089700993,0.05641025641025643,58.0378,3.36,0.844,11.87,2024-05-21 16:24:46,llama3-tom-cat
1.3387346267700195,0.5324074074074074,45.94682917363407,0.3434020222705747,0.07870370370370372,54.292,3.978,0.995,11.87,2024-05-21 16:24:46,llama3-tom-cat
1.4793570041656494,0.3641025641025641,52.58448635413495,-0.10928242264647792,0.06666666666666665,87.8414,2.22,2.22,2024-05-26 20:47:24,llama3-70b
1.4793570041656494,0.3641025641025641,52.58448635413495,-0.10928242264647792,0.06666666666666665,87.7046,2.223,2.223,2024-05-26 20:59:40,llama3-70b
1.4793570041656494,0.3641025641025641,52.58448635413495,-0.10928242264647792,0.06666666666666665,88.3137,2.208,2.208,2024-05-26 21:04:43,llama3-70b
1.4793570041656494,0.3641025641025641,52.58448635413495,-0.10928242264647792,0.06666666666666665,88.2667,2.209,2.209,2024-05-26 21:11:48,llama3-70b
1.4793570041656494,0.3641025641025641,52.58448635413495,-0.10928242264647792,0.06666666666666665,87.5504,2.227,2.227,2024-05-27 04:52:19,llama3-70b
1.4793570041656494,0.3641025641025641,52.58448635413495,-0.10928242264647792,0.06666666666666665,87.7112,2.223,2.223,2024-05-27 05:22:34,llama3-70b
2.3108248710632324,0.09743589743589744,64.4980619863884,0.05516213194185615,0.05641025641025643,70.3163,2.773,2.773,2024-05-27 05:26:43,llama3-70b
2.3108248710632324,0.09743589743589744,64.4980619863884,0.05516213194185615,0.05641025641025643,69.7944,2.794,2.794,2024-05-27 05:39:53,llama3-70b
2.3108248710632324,0.09743589743589744,64.4980619863884,0.05516213194185615,0.05641025641025643,70.3464,2.772,2.772,2024-05-27 07:12:25,llama3-70b
1.4792317152023315,0.3641025641025641,52.58448635413495,-0.10928242264647792,0.06666666666666665,74.169,2.629,0.661,2024-05-27 10:12:47,llama3-70b
2.3108649253845215,0.09743589743589744,64.4980619863884,0.05516213194185615,0.05641025641025643,67.5901,2.885,0.725,2024-05-27 10:30:42,llama3-70b
1.4806089401245117,0.3641025641025641,52.58448635413495,-0.10928242264647792,0.06666666666666665,69.8072,2.793,0.702,2024-05-27 11:08:00,llama3-70b
1.4806089401245117,0.3641025641025641,52.58448635413495,-0.10928242264647792,0.06666666666666665,78.7521,2.476,0.622,2024-05-27 11:16:57,llama3-70b
1.4806089401245117,0.3641025641025641,52.58448635413495,-0.10928242264647792,0.06666666666666665,71.4729,2.728,0.686,2024-05-27 11:22:37,llama3-70b
1.4806089401245117,0.3641025641025641,52.58448635413495,-0.10928242264647792,0.06666666666666665,88.8962,2.194,0.551,2024-05-27 11:28:19,llama3-70b
1.4806089401245117,0.3641025641025641,52.58448635413495,-0.10928242264647792,0.06666666666666665,89.6019,2.176,0.547,2024-05-27 11:32:11,llama3-70b
1.4806089401245117,0.3641025641025641,52.58448635413495,-0.10928242264647792,0.06666666666666665,82.6562,2.359,0.593,2024-05-27 11:47:40,llama3-70b
1.4806089401245117,0.3641025641025641,52.58448635413495,-0.10928242264647792,0.06666666666666665,84.4567,2.309,0.58,2024-05-27 12:10:48,phi-3-medium
1.2352964878082275,0.5435897435897435,39.0660190722557,0.43223443223443225,0.04102564102564099,85.3236,2.285,0.574,11.870967741935484,2024-05-27 12:10:48,phi-3-medium
1.2791160345077515,0.5185185185185185,46.188021535170066,0.40427487933808326,0.08333333333333337,72.8758,2.964,0.741,11.870967741935484,2024-05-27 12:10:48,phi-3-medium
1.409294843673706,0.3641025641025641,52.58448635413495,-0.10928242264647792,0.06666666666666665,196.7151,0.991,0.249,2024-06-01 15:35:24,phi-3-medium-lora
1.354527235031128,0.3128205128205128,53.51251950328767,-0.0858742999377724,0.07179487179487176,66.1066,2.95,0.741,2024-06-01 15:59:30,phi-3-medium-lora-corn-loss
0.3747996687889099,0.041025641025641026,107.82702196883055,-0.017521183397960716,0.5076923076923077,68.4092,2.85,0.716,5.978494623655914,2024-06-01 15:59:30,phi-3-medium-lora-corn-loss
0.46015986800193787,0.027777777777777776,104.38532605829373,0.0013201071172631584,0.4444444444444444,61.2683,3.525,0.881,5.978494623655914,2024-06-01 15:59:30,phi-3-medium-lora-corn-loss
